,index,units_sold,매출
0,0,100,1600.0
1,1,20000,160000.0
2,2,100,800.0
3,3,5000,40000.0
4,4,100,272.0
5,5,10,39.2
6,6,50000,350000.0
7,7,1000,12000.0
8,8,100,1100.0
9,9,5000,28900.0
10,10,1000,5790.0
11,11,100,600.0
12,12,1000,1910.0
13,13,1000,5790.0
14,14,20000,40000.0
15,15,1000,11000.0
16,16,10000,110000.0
17,17,100000,500000.0
18,18,20000,180000.0
19,19,1000,7000.0
20,20,5000,55000.0
21,21,20000,100000.0
22,22,1000,11000.0
23,23,5000,35000.0
24,24,1000,5710.0
25,25,1000,9000.0
26,26,1000,9000.0
27,27,20000,113000.0
28,28,100,174.0
29,29,1000,5650.0
30,30,100,1400.0
31,31,1000,5650.0
32,32,1000,8000.0
33,33,5000,13300.0
34,34,10000,90000.0
35,35,1000,11000.0
36,36,100,800.0
37,37,5000,70000.0
38,38,100,580.0
39,39,1000,13000.0
40,40,50000,450000.0
41,41,10,70.0
42,42,100,1200.0
43,43,100,369.0
44,44,10000,50000.0
45,45,100,584.0
46,46,10,160.0
47,47,1000,13000.0
48,48,10000,90000.0
49,49,100,700.0
50,50,100,1100.0
51,51,1000,5840.0
52,52,1000,1000.0
53,53,1000,11000.0
54,54,5000,45000.0
55,55,1000,6000.0
56,56,100,100.0
57,57,5000,45000.0
58,58,100,600.0
59,59,1000,11000.0
60,60,50,350.0
61,61,50,250.0
62,62,100,272.0
63,63,1000,5870.0
64,64,5000,55000.0
65,65,100,800.0
66,66,1000,14000.0
67,67,100,200.0
68,68,10000,80000.0
69,69,1000,5790.0
70,70,100,800.0
71,71,10000,49400.00000000001
72,72,10000,80000.0
73,73,100,1100.0
74,74,10,80.0
75,75,50,450.0
76,76,100,700.0
77,77,10000,110000.0
78,78,100,800.0
79,79,10000,58300.0
80,80,1000,8000.0
81,81,100,577.0
82,82,10000,59000.0
83,83,100,600.0
84,84,50000,350000.0
85,85,10000,80000.0
86,86,1000,12000.0
87,87,20000,115600.0
88,88,5000,60000.0
89,89,20000,220000.0
90,90,100,800.0
91,91,100,1100.0
92,92,100000,577000.0
93,93,20000,180000.0
94,94,100,172.0
95,95,100,186.0
96,96,100,1400.0
97,97,1000,3690.0
98,98,1000,5790.0
99,99,100,1100.0
100,100,100,900.0
101,101,10000,60000.0
102,102,100,2000.0
103,103,5000,28300.0
104,104,100,800.0
105,105,1000,8000.0
106,106,1000,6000.0
107,107,5000,55000.0
108,108,1000,7000.0
109,109,10000,110000.0
110,110,100,581.0
111,111,10000,140000.0
112,112,10,50.0
113,113,100,500.0
114,114,1000,11000.0
115,115,10,120.0
116,116,10,56.8
117,117,100,1100.0
118,118,10000,170000.0
119,119,100,700.0
120,120,50,600.0
121,121,100,700.0
122,122,50,350.0
123,123,1000,11000.0
124,124,100,1200.0
125,125,5000,65000.0
126,126,1,2.72
127,127,20000,120000.0
128,128,100,900.0
129,129,50,250.0
130,130,1000,5860.0
131,131,10000,20000.0
132,132,5000,35000.0
133,133,100,566.0
134,134,5000,65000.0
135,135,5000,40000.0
136,136,1000,11000.0
137,137,20000,160000.0
138,138,100,1600.0
139,139,100,1100.0
140,140,5000,55000.0
141,141,20000,160000.0
142,142,1000,14000.0
143,143,100,700.0
144,144,20000,240000.0
145,145,1000,7000.0
146,146,100,200.0
147,147,100,600.0
148,148,1000,8000.0
149,149,20000,160000.0
150,150,5000,40000.0
151,151,1000,11000.0
152,152,5000,18300.0
153,153,100,168.0
154,154,100,1300.0
155,155,1000,13000.0
156,156,100,1100.0
157,157,1000,7000.0
158,158,10000,48100.00000000001
159,159,5000,45000.0
160,160,100,1800.0
161,161,5000,35000.0
162,162,10,160.0
163,163,1000,5000.0
164,164,1000,1680.0
165,165,100,700.0
166,166,50,300.0
167,167,1000,13000.0
168,168,100,1100.0
169,169,5000,35000.0
170,170,100,1200.0
171,171,100,600.0
172,172,5000,30000.0
173,173,100,800.0
174,174,100,800.0
175,175,1000,11000.0
176,176,5000,30000.0
177,177,1000,11000.0
178,178,100,900.0
179,179,100,800.0
180,180,1000,3780.0
181,181,100,800.0
182,182,100,600.0
183,183,1000,8000.0
184,184,20000,180000.0
185,185,5000,28250.0
186,186,100,300.0
187,187,50,400.0
188,188,1000,5740.0
189,189,10,50.0
190,190,20000,160000.0
191,191,10000,36700.0
192,192,1000,7000.0
193,193,5000,40000.0
194,194,1000,11000.0
195,195,50,400.0
196,196,1000,22000.0
197,197,10000,80000.0
198,198,1000,19000.0
199,199,1000,11000.0
200,200,1000,6000.0
201,201,5000,35000.0
202,202,10000,70000.0
203,203,100,800.0
204,204,100,1400.0
205,205,100,600.0
206,206,5000,55000.0
207,207,5000,30000.0
208,208,5000,35000.0
209,209,10000,60000.0
210,210,10000,70000.0
211,211,1000,9000.0
212,212,50,400.0
213,213,100,1100.0
214,214,100000,800000.0
215,215,10000,180000.0
216,216,10,110.0
217,217,50,241.5
218,218,100,800.0
219,219,1000,5850.0
220,220,100,1100.0
221,221,100,900.0
222,222,1000,15000.0
223,223,1000,5000.0
224,224,100,800.0
225,225,5000,28450.000000000004
226,226,100,600.0
227,227,5000,40000.0
228,228,5000,30000.0
229,229,100,1100.0
230,230,100,172.0
231,231,10000,57800.0
232,232,5000,55000.0
233,233,1000,12000.0
234,234,1000,8000.0
235,235,100,189.0
236,236,1000,12000.0
237,237,10000,60000.0
238,238,5000,20000.0
239,239,100,700.0
240,240,100,800.0
241,241,100,500.0
242,242,10000,58400.0
243,243,10000,80000.0
244,244,5000,95000.0
245,245,100,1100.0
246,246,50,192.5
247,247,1000,9000.0
248,248,7,56.0
249,249,1000,11000.0
250,250,20000,120000.0
251,251,100000,500000.0
252,252,100,1600.0
253,253,100,1300.0
254,254,100,900.0
255,255,100,700.0
256,256,20000,120000.0
257,257,10000,80000.0
258,258,100,470.0
259,259,10000,40000.0
260,260,5000,40000.0
261,261,1000,16000.0
262,262,100,1100.0
263,263,10000,57699.99999999999
264,264,10000,80000.0
265,265,100,1400.0
266,266,100,600.0
267,267,100,1300.0
268,268,20000,220000.0
269,269,5000,20000.0
270,270,1000,5770.0
271,271,20000,180000.0
272,272,10000,110000.0
273,273,50,350.0
274,274,1000,9000.0
275,275,1000,5810.000000000001
276,276,100,1100.0
277,277,20000,220000.0
278,278,5000,40000.0
279,279,10000,110000.0
280,280,5000,30000.0
281,281,5000,25000.0
282,282,5000,30000.0
283,283,5000,40000.0
284,284,100,1300.0
285,285,100,1100.0
286,286,10000,56500.0
287,287,50,241.5
288,288,10000,80000.0
289,289,100,300.0
290,290,50,400.0
291,291,10000,130000.0
292,292,5000,55000.0
293,293,10,70.0
294,294,5000,25000.0
295,295,1000,6000.0
296,296,100,1300.0
297,297,20000,60000.0
298,298,5000,60000.0
299,299,100,1100.0
300,300,10000,80000.0
301,301,1000,5850.0
302,302,100,600.0
303,303,1000,9000.0
304,304,1000,8000.0
305,305,100,500.0
306,306,50,400.0
307,307,20000,180000.0
308,308,10000,80000.0
309,309,100,481.00000000000006
310,310,100,1400.0
311,311,50,400.0
312,312,100,800.0
313,313,100,700.0
314,314,100,300.0
315,315,1000,8000.0
316,316,100,800.0
317,317,5000,60000.0
318,318,100,1100.0
319,319,100,800.0
320,320,100,800.0
321,321,1000,6000.0
322,322,100,1100.0
323,323,100,800.0
324,324,1000,8000.0
325,325,10000,90000.0
326,326,10,140.0
327,327,5000,65000.0
328,328,100,484.0
329,329,1000,5000.0
330,330,5000,70000.0
331,331,100,300.0
332,332,10000,70000.0
333,333,50000,250000.0
334,334,100,900.0
335,335,1000,9000.0
336,336,1000,8000.0
337,337,2,22.0
338,338,5000,95000.0
339,339,10000,80000.0
340,340,10000,70000.0
341,341,100,900.0
342,342,5000,60000.0
343,343,100,800.0
344,344,1000,7000.0
345,345,1000,8000.0
346,346,10,80.0
347,347,20000,220000.0
348,348,1,11.0
349,349,100,370.0
350,350,5000,70000.0
351,351,5000,55000.0
352,352,1000,18000.0
353,353,20000,240000.0
354,354,1000,14000.0
355,355,50,400.0
356,356,10000,17700.0
357,357,5000,18650.0
358,358,100,800.0
359,359,5000,90000.0
360,360,100,400.0
361,361,10000,56800.0
362,362,5000,70000.0
363,363,50,87.5
364,364,100,1400.0
365,365,1000,8000.0
366,366,10000,60000.0
367,367,5000,29450.0
368,368,1000,5000.0
369,369,20000,54200.0
370,370,100,1100.0
371,371,100,1600.0
372,372,5000,35000.0
373,373,50,200.0
374,374,100,600.0
375,375,10,80.0
376,376,100,400.0
377,377,10000,110000.0
378,378,5000,60000.0
379,379,1000,11000.0
380,380,10000,19100.0
381,381,50000,285000.0
382,382,5000,40000.0
383,383,1000,9000.0
384,384,100,572.0
385,385,100,200.0
386,386,1000,9000.0
387,387,10,150.0
388,388,50,1000.0
389,389,1000,6000.0
390,390,1000,3000.0
391,391,10000,90000.0
392,392,10000,80000.0
393,393,100,1200.0
394,394,100,1100.0
395,395,100,900.0
396,396,1000,7000.0
397,397,100,592.0
398,398,1000,8000.0
399,399,100,1100.0
400,400,10000,80000.0
401,401,50000,750000.0
402,402,20000,160000.0
403,403,1000,1680.0
404,404,1000,24000.0
405,405,100,565.0
406,406,100,1300.0
407,407,100,1600.0
408,408,100,583.0
409,409,5000,35000.0
410,410,5000,40000.0
411,411,5000,70000.0
412,412,5000,28250.0
413,413,1000,1800.0
414,414,100,700.0
415,415,50,87.5
416,416,1000,9000.0
417,417,1000,12000.0
418,418,1000,8000.0
419,419,100,500.0
420,420,1000,11000.0
421,421,10000,80000.0
422,422,100,700.0
423,423,1000,6000.0
424,424,1000,6000.0
425,425,100,1300.0
426,426,1000,7000.0
427,427,1000,13000.0
428,428,50,600.0
429,429,1000,5710.0
430,430,100,1100.0
431,431,20000,75800.0
432,432,100,800.0
433,433,20000,40000.0
434,434,1000,6000.0
435,435,50,300.0
436,436,100,1300.0
437,437,1000,8000.0
438,438,100,700.0
439,439,5000,55000.0
440,440,1000,11000.0
441,441,5000,40000.0
442,442,1000,1650.0
443,443,10000,80000.0
444,444,1000,12000.0
445,445,10000,90000.0
446,446,20000,160000.0
447,447,10,50.0
448,448,100,1100.0
449,449,1000,11000.0
450,450,5000,45000.0
451,451,10000,70000.0
452,452,100,600.0
453,453,100,700.0
454,454,1000,1650.0
455,455,20000,220000.0
456,456,1000,11000.0
457,457,1000,7000.0
458,458,1000,8000.0
459,459,5000,75000.0
460,460,100,900.0
461,461,10000,70000.0
462,462,100,1100.0
463,463,1000,6000.0
464,464,100,800.0
465,465,100,200.0
466,466,100,800.0
467,467,1000,22000.0
468,468,1000,11000.0
469,469,1000,6000.0
470,470,5000,30000.0
471,471,100,900.0
472,472,20000,240000.0
473,473,20000,120000.0
474,474,5000,45000.0
475,475,100,1800.0
476,476,5000,55000.0
477,477,1000,13000.0
478,478,20000,220000.0
479,479,1000,11000.0
480,480,100,1100.0
481,481,50,450.0
482,482,50,300.0
483,483,20000,56600.0
484,484,5000,35000.0
485,485,100,1500.0
486,486,5000,70000.0
487,487,10,120.0
488,488,100,581.0
489,489,100,1600.0
490,490,100,700.0
491,491,1000,8000.0
492,492,10000,120000.0
493,493,1000,11000.0
494,494,1000,11000.0
495,495,5000,28450.000000000004
496,496,100,1200.0
497,497,100,700.0
498,498,50000,350000.0
499,499,10000,56600.0
500,500,20000,160000.0
501,501,10000,50000.0
502,502,5000,70000.0
503,503,1000,6000.0
504,504,10000,80000.0
505,505,100,583.0
506,506,1000,11000.0
507,507,100,185.0
508,508,5000,45000.0
509,509,10000,80000.0
510,510,50000,150000.0
511,511,5000,30000.0
512,512,50,193.0
513,513,5000,45000.0
514,514,5000,29450.0
515,515,1000,11000.0
516,516,20000,160000.0
517,517,10000,80000.0
518,518,10,110.0
519,519,10,110.0
520,520,100,800.0
521,521,50,100.0
522,522,100,566.0
523,523,100,900.0
524,524,100,800.0
525,525,1000,9000.0
526,526,1000,2760.0
527,527,100,383.0
528,528,10000,70000.0
529,529,1000,6000.0
530,530,100,800.0
531,531,1000,8000.0
532,532,100,266.0
533,533,20000,160000.0
534,534,1000,8000.0
535,535,5000,18350.0
536,536,20000,240000.0
537,537,20000,260000.0
538,538,5000,45000.0
539,539,50,450.0
540,540,100,800.0
541,541,10000,120000.0
542,542,100,500.0
543,543,5000,30000.0
544,544,1000,14000.0
545,545,5000,40000.0
546,546,20000,160000.0
547,547,20000,160000.0
548,548,20000,360000.0
549,549,100,393.0
550,550,100,1100.0
551,551,100,600.0
552,552,1000,8000.0
553,553,100,1100.0
554,554,5000,35000.0
555,555,100,1200.0
556,556,100,1100.0
557,557,100,1100.0
558,558,50,150.0
559,559,5000,25000.0
560,560,1000,9000.0
561,561,1000,8000.0
562,562,20000,180000.0
563,563,20000,220000.0
564,564,20000,220000.0
565,565,10000,70000.0
566,566,100,393.0
567,567,100,700.0
568,568,100,800.0
569,569,5000,35000.0
570,570,10,37.0
571,571,100,800.0
572,572,1000,8000.0
573,573,100,394.0
574,574,1000,15000.0
575,575,1000,5000.0
576,576,100,577.0
577,577,100,467.0
578,578,100,1100.0
579,579,5000,29500.0
580,580,100,370.0
581,581,1000,5000.0
582,582,5000,45000.0
583,583,100,1600.0
584,584,10000,60000.0
585,585,1000,16000.0
586,586,1000,3760.0
587,587,1000,8000.0
588,588,100,1100.0
589,589,100,800.0
590,590,1000,12000.0
591,591,5000,40000.0
592,592,100,1100.0
593,593,10000,50000.0
594,594,1000,5000.0
595,595,1000,7000.0
596,596,5000,40000.0
597,597,3,45.0
598,598,1000,12000.0
599,599,100,700.0
600,600,5000,65000.0
601,601,100,900.0
602,602,100,500.0
603,603,1000,14000.0
604,604,10000,70000.0
605,605,10000,130000.0
606,606,1000,2000.0
607,607,100,473.00000000000006
608,608,20000,220000.0
609,609,5000,40000.0
610,610,5000,23700.0
611,611,10000,80000.0
612,612,100,800.0
613,613,100,800.0
614,614,100,595.0
615,615,100,365.0
616,616,5000,14050.0
617,617,10000,46600.0
618,618,10,50.0
619,619,1000,5000.0
620,620,100,800.0
621,621,1000,13000.0
622,622,5000,40000.0
623,623,100,800.0
624,624,100,700.0
625,625,1000,12000.0
626,626,1000,5000.0
627,627,1000,13000.0
628,628,10000,140000.0
629,629,10000,70000.0
630,630,20000,120000.0
631,631,5000,40000.0
632,632,100,500.0
633,633,100,1100.0
634,634,10,56.5
635,635,50,188.0
636,636,100,700.0
637,637,10000,46700.0
638,638,100,1100.0
639,639,100,280.0
640,640,10,160.0
641,641,100,900.0
642,642,5000,35000.0
643,643,100,1600.0
644,644,50,450.0
645,645,100,300.0
646,646,5000,30000.0
647,647,1000,12000.0
648,648,100,600.0
649,649,1000,13000.0
650,650,5000,45000.0
651,651,20000,180000.0
652,652,100,500.0
653,653,100,1600.0
654,654,20000,220000.0
655,655,100,200.0
656,656,100,800.0
657,657,10000,70000.0
658,658,1000,14000.0
659,659,5000,60000.0
660,660,100,700.0
661,661,100,800.0
662,662,1000,8000.0
663,663,1000,14000.0
664,664,5000,30000.0
665,665,20000,220000.0
666,666,1000,8000.0
667,667,10,140.0
668,668,100,500.0
669,669,100,1100.0
670,670,3,14.430000000000001
671,671,100,900.0
672,672,10,110.0
673,673,1000,12000.0
674,674,1000,6000.0
675,675,100,387.0
676,676,50,250.0
677,677,1000,11000.0
678,678,10000,80000.0
679,679,100,500.0
680,680,100,1400.0
681,681,1000,3000.0
682,682,10000,90000.0
683,683,100,383.0
684,684,100,600.0
685,685,5000,45000.0
686,686,10000,120000.0
687,687,5000,35000.0
688,688,10000,110000.0
689,689,50,188.0
690,690,1000,11000.0
691,691,1000,11000.0
692,692,20000,260000.0
693,693,100,577.0
694,694,100,500.0
695,695,5000,55000.0
696,696,100,600.0
697,697,1000,5000.0
698,698,50,300.0
699,699,1000,8000.0
700,700,1000,11000.0
701,701,100,500.0
702,702,1000,7000.0
703,703,10000,120000.0
704,704,100,200.0
705,705,100,400.0
706,706,10000,110000.0
707,707,100,1300.0
708,708,10000,60000.0
709,709,100,1200.0
710,710,5000,60000.0
711,711,100,1400.0
712,712,100,1100.0
713,713,100,1400.0
714,714,1000,9000.0
715,715,100,1100.0
716,716,5000,18500.0
717,717,10000,90000.0
718,718,1000,3850.0
719,719,1000,8000.0
720,720,1000,14000.0
721,721,20000,220000.0
722,722,5000,30000.0
723,723,5000,40000.0
724,724,10000,57400.0
725,725,100,1100.0
726,726,1000,2000.0
727,727,1000,8000.0
728,728,1000,8000.0
729,729,1000,2000.0
730,730,5000,55000.0
731,731,20000,220000.0
732,732,10,80.0
733,733,5000,25000.0
734,734,100,900.0
735,735,5000,45000.0
736,736,100,700.0
737,737,20000,180000.0
738,738,5000,55000.0
739,739,100,200.0
740,740,20000,280000.0
741,741,10000,70000.0
742,742,10000,80000.0
743,743,10000,130000.0
744,744,50,600.0
745,745,10000,80000.0
746,746,8,64.0
747,747,1000,11000.0
748,748,100,500.0
749,749,100,575.0
750,750,5000,40000.0
751,751,100,700.0
752,752,50,300.0
753,753,20000,220000.0
754,754,1000,5650.0
755,755,5000,40000.0
756,756,5000,25000.0
757,757,10000,110000.0
758,758,100,4900.0
759,759,100,500.0
760,760,100,466.0
761,761,100,700.0
762,762,1000,19000.0
763,763,100,2300.0
764,764,100,900.0
765,765,1000,6000.0
766,766,100,1400.0
767,767,20000,440000.0
768,768,1000,8000.0
769,769,100,266.0
770,770,100,200.0
771,771,10000,160000.0
772,772,1000,11000.0
773,773,1000,14000.0
774,774,2,32.0
775,775,1000,8000.0
776,776,5000,45000.0
777,777,100,1400.0
778,778,10000,110000.0
779,779,1000,15000.0
780,780,50,200.0
781,781,10,57.5
782,782,1000,9000.0
783,783,1000,6000.0
784,784,10000,80000.0
785,785,1000,5730.0
786,786,20000,160000.0
787,787,1000,11000.0
788,788,50,400.0
789,789,10,70.0
790,790,50000,200000.0
791,791,100,1300.0
792,792,1000,12000.0
793,793,10000,90000.0
794,794,5000,28900.0
795,795,1000,5860.0
796,796,10000,90000.0
797,797,1000,3870.0
798,798,1000,9000.0
799,799,100,574.0
800,800,10000,90000.0
801,801,7,56.0
802,802,100,368.0
803,803,1000,4860.0
804,804,100,1100.0
805,805,50,600.0
806,806,1000,15000.0
807,807,1000,3910.0
808,808,100,1100.0
809,809,100,1100.0
810,810,10000,80000.0
811,811,10000,80000.0
812,812,10000,140000.0
813,813,50,350.0
814,814,100,600.0
815,815,1000,6000.0
816,816,100,1200.0
817,817,50,450.0
